#{"t_start": 1712328357.633668, "env_id": "None"}
r,l,t
0.034347,252,21.034327
0.038112,252,40.618663
0.028528,252,58.047754
0.024196,252,74.833142
0.021666,252,93.090327
0.004946,252,111.996109
0.008474,252,129.600374
0.011567,252,149.13956
0.006918,252,168.945827
-0.000835,252,188.395043
-0.002519,252,208.123092
-0.002188,252,226.895338
00.006549,252,245.64632
0.006854,252,263.155176
0.005488,252,283.060395
0.010596,252,302.560021
0.00984,252,322.346159
0.005322,252,341.386137
0.001203,252,359.58516
0.004828,252,378.912176
0.005241,252,397.892073
0.010245,252,416.756403
0.013042,252,436.49843
0.015519,252,455.736813
0.016578,252,475.76997
0.015699,252,494.562002
0.01564,252,513.421638
0.017872,252,532.460987
0.021774,252,551.086473
0.017258,252,571.386212
0.01868,252,590.351823
0.020325,252,609.567353
0.013331,252,628.058863
0.009852,252,646.83217
-0.010992,252,666.339623
-0.015191,252,686.52271
-0.006902,252,706.017012
-0.019106,252,725.153201
0-0.022724,252,743.5327660.-0.02449,252,761.5277060.-0.020172,252,780.654870.0-0.008971,252,800.60370.0-0.009065,252,819.61420.02-0.001498,252,837.700.0170-0.001845,252,856.90.02270.003081,252,875.470.0237-0.002248,252,894.90.023300.006363,252,914.20.020040.00864,252,932.250.0130.004652,252,951.3000.0090.005654,252,969.4590.0100.009041,252,988.6120.011-0.002632,252,1008.10.007170.002406,252,1027.30.00763-0.00664,252,1047.00.0054-0.005354,252,1066.00.00727-0.01146,252,1085.30.00825-0.002075,252,1104.0.008126-0.002761,252,11230.010043,0.000499,252,11420.008874,0.007076,252,11610.0091,250.007571,252,110.012898,250.003631,252,120.017964,250.000407,252,120.014243,20.003757,252,1230.01465,250.004568,252,120.012928,250.006318,252,120.013737,250.006664,252,120.014355,250.008804,252,10.01524,253,0.009347,2520.017848,253,10.008066,2520.013851,253,10.005316,2520.016931,253,10.004945,2520.017369,253,10.00645,252,0.018716,253,0.011553,252,0.015114,253,0.008527,252,0.012673,253,0.007387,252,0.016163,253,0.008633,2520.020368,253,10.007469,2520.02113,253,150.014009,250.025013,253,150.011521,250.024722,253,150.008348,250.02394,253,1580.005663,20.025316,253,1600.004671,20.024686,253,1620.004306,20.023738,253,1640.00376,250.028592,253,1-0.00305,2520.02455,253,16-0.005963,20.023668,253,170-0.005149,0.019826,253,1719-0.0097110.021087,253,1737.-0.008080.020741,253,1756.9-0.0040.019699,253,1775.998-0.000.02205,253,1794.97231-0.0.023919,253,1813.401343-00.02474,253,1832.856701
0.019841,253,1851.854178
0.018516,253,1870.502231
0.019947,253,1889.025114
0.018377,253,1907.853076
0.017059,253,1927.021711
0.017363,253,1944.820735
0.018984,253,1963.857412
0.024218,253,1981.939182
0.024382,253,2000.867794
0.02322,253,2020.621253
0.023237,253,2040.308608
0.02276,253,2059.162605
0.02234,253,2078.38673
0.023482,253,2097.703875
0.025378,253,2117.28648
0.029215,253,2137.534524
0.032614,253,2155.864008
0.034391,253,2174.438439
0.038771,253,2193.171639
0.039924,253,2211.907891
0.045804,253,2230.957062
0.050191,253,2250.754478
0.049482,253,2270.18507
0.050716,253,2289.09618
0.047136,253,2308.199275
0.049077,253,2327.162043
0.046395,253,2346.915938
0.041907,253,2366.121677
0.045515,253,2384.826116
0.048662,253,2403.460419
0.050929,253,2421.912321
0.049159,253,2439.785918
0.04812,253,2458.126139
0.048062,253,2477.898544
0.04543,253,2496.884958
0.042516,253,2515.214672
0.044535,253,2533.699772
0.040879,253,2552.565828
0.043277,253,2571.103558
0.040657,253,2590.756788
0.037952,253,2609.560954
0.037337,253,2626.615263
0.038059,253,2641.740177
0.040056,253,2656.677159
0.039147,253,2673.783172
0.036855,253,2691.948984
0.035682,253,2711.476837
0.033745,253,2730.466058
0.032979,253,2750.282521
0.033877,253,2768.650745
0.033862,253,2788.542541
0.033562,253,2808.048009
0.031824,253,2827.533156
0.031645,253,2845.71145
0.032843,253,2864.210237
0.03359,253,2882.790063
0.031676,253,2901.588497
0.03016,253,2920.1141
0.031219,253,2939.182498
0.031022,253,2957.646264
0.034209,253,2976.915081
0.034322,253,2996.160961
0.035603,253,3015.196819
0.034484,253,3034.055653
0.033153,253,3052.927167
0.032549,253,3071.758798
0.031189,253,3091.173744
0.03177,253,3110.779089
0.033322,253,3129.834222
0.034463,253,3148.221282
0.033218,253,3166.938457
0.03122,253,3185.375512
0.032057,253,3203.539349
0.033769,253,3222.698278
0.03134,253,3242.124428
0.028717,253,3260.164784
0.02876,253,3279.925143
0.030047,253,3298.985019
0.032888,253,3317.504097
0.031762,253,3336.113038
0.031155,253,3354.50202
0.030255,253,3372.536101
0.027454,253,3391.153649
0.027576,253,3410.140172
0.02784,253,3429.151
0.026842,253,3448.090013
0.0279,253,3466.29281
0.027719,253,3484.425017
0.028849,253,3502.594917
0.026822,253,3521.466007
0.027907,253,3540.15176
0.027331,253,3559.218449
0.026754,253,3576.947469
0.0262,253,3595.256999
0.026205,253,3613.693877
0.025668,253,3632.777094
0.025735,253,3650.59676
0.025931,253,3669.403631
0.026041,253,3687.763838
0.026361,253,3706.064788
0.024471,253,3724.78786
0.024178,253,3744.563734
0.023074,253,3763.885201
0.021711,253,3783.350824
694262
-0.037338,252,3702.98326
-0.037332,252,3721.719343
-0.036204,252,3741.550166
-0.037478,252,3760.817161
-0.037327,252,3780.276743
1258,3747.714476
0.795555,1258,3767.064362
0.795521,1258,3786.528456
035,1258,1217.120622
875.303964,1258,1222.637556
874.620421,1258,1227.912378
877.874526,1258,1236.594139
876.695576,1258,1242.254761
879.332736,1258,1247.600106
878.862512,1258,1256.419226
879.369608,1258,1261.825999
880.145828,1258,1266.681828
881.75582,1258,1275.264719
883.858714,1258,1281.047355
883.427483,1258,1286.710069
883.954179,1258,1295.63719
886.311682,1258,1301.343059
886.755719,1258,1306.830187
885.668261,1258,1315.497102
888.526795,1258,1320.737221
887.317556,1258,1325.97791
888.422425,1258,1333.711058
889.483957,1258,1339.147154
890.612788,1258,1344.812776
892.000157,1258,1353.096421
892.694535,1258,1358.556634
893.681011,1258,1364.108081
893.495253,1258,1372.308926
892.503574,1258,1377.505826
892.764963,1258,1382.993785
894.656662,1258,1391.529725
894.803574,1258,1397.004046
895.417626,1258,1402.667722
897.057124,1258,1410.883601
897.564897,1258,1415.783087
897.048851,1258,1420.577052
898.919263,1258,1428.813524
897.085804,1258,1434.512027
899.633733,1258,1440.019146
900.652716,1258,1448.003779
899.508213,1258,1453.065567
899.474867,1258,1458.641666
901.176251,1258,1467.145284
899.839155,1258,1472.459772
902.149617,1258,1477.617367
903.371756,1258,1485.375049
904.701843,1258,1491.247219
905.13055,1258,1497.000468
903.889062,1258,1505.602694
906.630556,1258,1511.376098
907.707148,1258,1516.58969
905.662166,1258,1524.885725
907.693018,1258,1530.031545
907.938908,1258,1535.121094
909.809307,1258,1542.827208
910.723902,1258,1548.017061
909.280755,1258,1553.483525
911.445762,1258,1561.790011
911.303865,1258,1566.993317
912.467891,1258,1572.094607
913.573786,1258,1580.405705
913.269359,1258,1586.007004
912.230802,1258,1591.628227
913.264846,1258,1599.99732
914.358806,1258,1605.270367
916.334693,1258,1610.183425
916.169818,1258,1619.977643
916.392889,1258,1625.099794
918.170125,1258,1629.646324
917.040948,1258,1639.20458
917.136567,1258,1644.313498
918.743795,1258,1649.149971
916.911027,1258,1658.249629
919.720985,1258,1663.604405
920.465731,1258,1668.49755
919.823215,1258,1677.781465
920.095368,1258,1683.276524
921.689336,1258,1688.061713
922.387011,1258,1697.175826
924.126753,1258,1702.579076
922.350056,1258,1707.432668
926.348718,1258,1716.42772
925.906735,1258,1721.552724
926.03988,1258,1726.235087
926.021769,1258,1734.804856
927.393449,1258,1740.340665
929.064512,1258,1744.740079
929.324644,1258,1754.083485
928.912805,1258,1759.36653
930.548902,1258,1763.977592
931.421483,1258,1773.092153
932.577381,1258,1777.935515
931.875209,1258,1782.796492
933.263984,1258,1792.178715
931.359297,1258,1797.441833
934.689159,1258,1801.830226
933.546669,1258,1810.656766
935.979236,1258,1816.474886
935.129957,1258,1821.253478
935.942687,1258,1830.622587
937.256483,1258,1835.841201
935.851122,1258,1840.321666
935.374289,1258,1848.950498
936.560154,1258,1853.98168
937.139021,1258,1858.776941
935.211978,1258,1867.751802
938.138107,1258,1873.050585
938.447967,1258,1877.55126
939.919272,1258,1886.652009
939.15196,1258,1892.292819
938.815212,1258,1896.694289
938.326299,1258,1906.097273
939.3609,1258,1911.67714
939.145922,1258,1916.305482
939.987414,1258,1925.179653
939.94845,1258,1930.374257
940.290382,1258,1934.569899
942.115503,1258,1943.521309
941.693836,1258,1949.273607
940.488673,1258,1953.642901
940.972925,1258,1962.35372
943.24059,1258,1967.047295
943.363231,1258,1971.676907
944.336147,1258,1980.611178
944.586339,1258,1985.795498
944.954164,1258,1994.330916
945.094861,1258,1999.689481
947.00294,1258,2005.461546
945.699871,1258,2014.202256
947.74171,1258,2019.719269
947.562285,1258,2025.360072
949.943332,1258,2034.052756
950.209402,1258,2039.743579
951.156182,1258,2044.720549
948.797532,1258,2052.879794
948.32481,1258,2058.384649
951.199801,1258,2063.473801
951.65524,1258,2072.169943
951.006694,1258,2077.568324
952.654829,1258,2083.049132
954.800765,1258,2091.617856
954.333316,1258,2096.967581
954.222382,1258,2102.59864
955.771302,1258,2111.358475
956.474105,1258,2116.725769
956.205244,1258,2122.569992
958.53363,1258,2131.654147
956.928846,1258,2136.860511
958.256255,1258,2142.10739
961.319564,1258,2149.884809
