#{"t_start": 1712509446.5250206, "env_id": "None"}
r,l,t
0.066365,252,23.913971
0.0459,252,43.764474
0.060275,252,63.505648
0.066036,252,82.854833
0.068871,252,102.806461
0.070541,252,122.025632
0.074276,252,140.875673
0.079459,252,158.818552
0.080518,252,175.952924
0.079529,252,193.533589
0.074737,252,211.165941
0.073942,252,229.41686
0.075682,252,247.085829
0.081122,252,264.454505
0.085514,252,281.524001
0.086206,252,298.339274
0.08507,252,314.612202
0.088303,252,331.818046
0.091252,252,349.843248
0.085619,252,367.0076
0.084408,252,382.979173
0.078731,252,399.714061
0.074254,252,415.890862
0.077478,252,433.691045
0.076818,252,451.221502
0.077374,252,467.517743
0.075433,252,484.114535
0.074123,252,500.897826
0.073119,252,517.900053
0.069232,252,536.239826
0.082273,252,554.232769
0.085436,252,570.613989
0.081349,252,587.133483
0.081099,252,603.345161
0.080787,252,619.621161
0.085241,252,637.468549
0.083956,252,654.009385
0.085755,252,670.285222
0.08461,252,686.741039
0.085379,252,702.959244
0.077972,252,721.103565
0.078021,252,738.28573
0.07404,252,755.25081
0.071233,252,771.882358
0.068765,252,789.238918
0.067675,252,809.774185
0.062004,252,830.688461
0.061965,252,852.276825
0.062952,252,872.735466
0.065387,252,893.034544
0.063781,252,914.037258
0.062785,252,935.207976
0.065016,252,955.707066
0.060954,252,975.511197
0.06244,252,995.452462
0.073141,252,1015.822754
0.068452,252,1036.452001
0.081788,252,1055.319932
0.077422,252,1071.776627
0.077426,252,1088.422949
0.079154,252,1105.408211
0.079739,252,1121.575299
0.077539,252,1138.248909
0.08113,252,1154.482859
0.079218,252,1172.135923
0.079875,252,1189.789973
0.074726,252,1206.853179
0.075339,252,1223.987566
0.075217,252,1242.04341
0.074121,252,1259.513737
0.072987,252,1277.131932
0.077404,252,1293.87265
0.074224,252,1311.10447
0.08455,252,1327.613265
0.08499,252,1345.060676
0.084322,252,1361.212438
0.084748,252,1376.876549
0.083574,252,1393.218279
0.083054,252,1409.207643
0.079757,252,1426.266167
0.080159,252,1442.500106
0.082529,252,1460.025893
0.083473,252,1477.339186
0.079268,252,1493.540262
0.080078,252,1509.726429
0.080505,252,1525.519966
0.080922,252,1542.677866
0.0818,252,1559.007809
0.082543,252,1574.924286
0.083924,252,1593.839014
0.082218,252,1613.925678
0.083844,252,1634.824409
0.083885,252,1653.92187
0.082433,252,1673.24696
0.078834,252,1693.313543
0.077805,252,1714.671841
0.079541,252,1735.487502
0.082184,252,1756.196507
0.084184,252,1776.707589
0.085557,252,1796.421651
0.087955,252,1816.562698
0.087442,252,1837.210923
0.088833,252,1857.358629
0.089685,252,1877.590991
0.087504,252,1898.751445
0.085106,252,1918.980521
0.083294,252,1939.000469
0.084434,252,1959.650587
0.084313,252,1978.685677
0.086267,252,1999.070466
0.085541,252,2018.814026
0.085235,252,2038.512764
0.086799,252,2058.249663
0.08698,252,2078.080589
0.085622,252,2099.030718
0.086102,252,2120.040131
0.081847,252,2139.267321
0.079708,252,2159.479052
0.07787,252,2180.628012
0.080285,252,2201.079257
0.080722,252,2221.920005
0.079664,252,2242.462285
0.080722,252,2261.634549
0.079943,252,2280.71785
0.078726,252,2300.321313
0.07697,252,2317.050424
0.077961,252,2336.834592
0.077258,252,2356.125175
0.074741,252,2375.569037
0.074468,252,2393.509748
0.07549,252,2412.864083
0.075338,252,2430.111583
0.075005,252,2446.597904
0.074653,252,2462.591276
0.073932,252,2478.329154
0.073058,252,2494.069109
0.073801,252,2509.910134
0.073246,252,2526.680497
0.073631,252,2543.600127
0.071935,252,2559.302171
0.070721,252,2575.729058
0.069878,252,2591.47734
0.070896,252,2607.079793
0.068933,252,2623.886446
0.069529,252,2640.732855
0.068368,252,2657.198719
0.068052,252,2673.014669
0.067031,252,2689.146211
0.065486,252,2706.781847
0.066059,252,2723.074567
0.066582,252,2739.428298
0.064739,252,2754.99167
0.062956,252,2770.466846
0.063598,252,2786.367251
0.065325,252,2804.770457
0.064201,252,2822.962406
0.064654,252,2841.330654
0.064145,252,2857.330789
0.063611,252,2873.356928
0.06316,252,2890.872255
0.064296,252,2906.709383
0.061677,252,2923.347376
0.062496,252,2939.304412
0.061265,252,2957.21815
0.061272,252,2973.604092
0.060776,252,2989.966534
0.06066,252,3006.053527
0.060402,252,3022.542435
0.059449,252,3039.298893
0.060296,252,3056.583541
0.060443,252,3073.977109
0.060575,252,3090.345435
0.061688,252,3106.500522
0.060908,252,3125.725441
0.060048,252,3145.84018
0.06148,252,3164.839376
0.061153,252,3183.68845
0.060865,252,3204.356389
0.060493,252,3224.523794
0.059835,252,3244.394269
0.061122,252,3264.437456
0.059826,252,3284.081982
0.059141,252,3304.401836
0.05926,252,3325.046854
0.058892,252,3344.703279
0.058679,252,3364.274462
0.058802,252,3384.788319
0.058708,252,3404.713003
0.058477,252,3424.153441
0.058836,252,3444.010607
0.058508,252,3463.310337
0.057906,252,3483.157718
0.058336,252,3503.471833
0.059469,252,3523.655217
0.059084,252,3544.560839
0.057952,252,3565.218317
0.05699,252,3585.280742
0.057995,252,3605.29996
0.056919,252,3625.703348
0.057382,252,3645.728263

-0.029814,253,3526.55203
-0.029527,253,3547.418792
-0.029154,253,3568.156585
-0.030085,253,3588.204628
-0.028349,253,3608.141536
-0.028957,253,3628.551111
-0.029717,253,3648.647229
23
88119,1258,1151.640917
762.280177,1258,1156.167291
768.188269,1258,1160.818067
772.265817,1258,1169.509921
770.393427,1258,1174.224872
770.82684,1258,1178.974599
772.580637,1258,1187.007171
772.398303,1258,1191.624598
771.086999,1258,1196.162267
768.701762,1258,1204.08025
763.502912,1258,1208.352479
759.910194,1258,1212.869005
773.665442,1258,1221.422095
776.039051,1258,1225.957759
779.573951,1258,1231.251105
775.545888,1258,1239.344319
783.323482,1258,1243.977451
778.839616,1258,1248.790094
780.513714,1258,1257.075668
785.614518,1258,1262.07115
786.082803,1258,1266.407088
783.50666,1258,1274.820919
783.820324,1258,1279.017705
789.127632,1258,1283.545196
787.085274,1258,1291.480962
791.143243,1258,1296.016891
787.621685,1258,1300.48773
791.158939,1258,1308.785547
787.452792,1258,1313.270763
765.748341,1258,1317.63037
773.908872,1258,1325.281792
780.580554,1258,1329.787663
777.173213,1258,1334.53084
785.836227,1258,1342.900271
786.157887,1258,1347.631669
786.967971,1258,1351.94075
792.123395,1258,1359.512946
788.339197,1258,1363.764291
789.245181,1258,1367.970591
789.224285,1258,1375.70136
787.191952,1258,1380.28633
788.901351,1258,1384.406002
794.612896,1258,1391.79077
792.099153,1258,1396.152748
797.110366,1258,1400.600493
795.584277,1258,1408.161371
798.198294,1258,1412.7718
801.627309,1258,1417.327733
800.373036,1258,1425.040963
798.09567,1258,1429.29452
796.064589,1258,1433.815351
790.987789,1258,1441.499926
795.837187,1258,1446.235385
799.920054,1258,1450.884141
793.71817,1258,1459.001662
796.264935,1258,1463.462366
788.827387,1258,1468.009472
792.134542,1258,1476.328591
788.513259,1258,1480.581869
792.438264,1258,1484.836509
787.382902,1258,1492.325297
788.061307,1258,1496.589418
793.796304,1258,1500.255341
789.953753,1258,1508.679839
790.68551,1258,1512.866677
793.512139,1258,1516.464334
790.892414,1258,1524.474675
793.037044,1258,1529.426219
797.539535,1258,1533.585442
794.120171,1258,1541.920244
793.927649,1258,1546.352982
788.207407,1258,1550.191106
795.39207,1258,1558.2356
803.845387,1258,1562.531621
802.28357,1258,1566.128607
799.86938,1258,1574.545414
798.919951,1258,1580.142127
798.966363,1258,1584.56076
