#{"t_start": 1712938414.199763, "env_id": "None"}
r,l,t
0.092751,252,21.804526
0.079426,252,42.035053
0.088547,252,62.958402
0.079361,252,83.646433
0.085907,252,105.029387
0.113877,252,126.432183
0.117573,252,147.872211
00.11219,252,169.205422
0.102223,252,189.968324
0.110712,252,210.213681
0.104659,252,230.77013
0.095176,252,252.605371
0.09017,252,273.673478
0.078147,252,294.532892
0.081401,252,315.194594
0.072243,252,335.820084
0.085167,252,356.243006
0.088059,252,377.358555
0.084195,252,398.443786
0.080647,252,419.442426
0.084937,252,440.46305
0.088088,252,461.46819
0.081703,252,479.577321
0.079505,252,496.719853
0.076799,252,513.570335
0.066113,252,531.369483
0.066231,252,549.792889
0.066831,252,566.857207
0.065381,252,584.722055
0.057628,252,604.578575
0.058353,252,624.697901
0.061422,252,645.359174
0.059365,252,666.416628
0.057379,252,687.344154
0.050427,252,708.72241
0.051405,252,729.304807
0.046679,252,750.514581
0.044634,252,771.185172
0.047886,252,791.755985
0.049757,252,812.629549
0.048415,252,834.010739
0.048079,252,854.702026
00.053219,252,874.971464
00.058795,252,895.164255
00.057398,252,916.484178
00.059514,252,936.588102
00.058532,252,957.42465
0.064074,252,978.754587
0.067876,252,999.424667
0.067828,252,1019.49267
0.070746,252,1039.367558
0.065951,252,1059.62569
0.066836,252,1080.063301
0.064004,252,1101.579815
0.062306,252,1122.746251
0.064509,252,1143.201601
0.069096,252,1162.012038
0.070801,252,1180.471203
0.074352,252,1197.959205
0.07393,252,1216.59236
0.072016,252,1235.060463
0.078228,252,1252.063641
0.084217,252,1270.99969
0.083315,252,1291.560326
0.084628,252,1312.788631
0.08383,252,1333.625235
0.080364,252,1354.59881
0.078533,252,1375.924665
0.080753,252,1397.302665
0.079687,252,1417.500257
0.077757,252,1438.948806
0.075388,252,1459.915219
0.074491,252,1481.304352
0.074065,252,1502.067605
0.058131,252,1523.886216
0.057593,252,1544.45286
0.055271,252,1565.369763
0.051621,252,1586.405155
0.05821,252,1607.259824
0.056554,252,1627.418299
0.053613,252,1646.590822
0.056402,252,1665.701276
0.052818,252,1684.02302
0.053558,252,1701.067282
0.050408,252,1718.477128
0.047092,252,1736.078962
0.047454,252,1752.964168
0.044804,252,1769.558534
0.042126,252,1786.331314
0.044456,252,1803.053815
0.049151,252,1820.035549
0.048171,252,1837.244219
0.046296,252,1854.065336
0.04747,252,1870.978837
0.053156,252,1888.743606
0.056852,252,1907.731049
0.05696,252,1924.691044
0.052039,252,1942.069078
0.051272,252,1958.878379
0.04832,252,1975.580835
0.045064,252,1992.187001
0.049042,252,2012.630684
0.055905,252,2034.47668
0.05773,252,2054.730382
0.062337,252,2075.628378
0.066317,252,2096.481833
0.066697,252,2117.116126
0.06916,252,2138.007023
0.065617,252,2158.385637
0.064239,252,2179.173023
0.065706,252,2200.085224
0.063161,252,2221.60123
0.06863,252,2242.417296
0.067533,252,2262.66344
0.067407,252,2283.243629
0.066068,252,2303.06859
0.064838,252,2323.109915
0.064104,252,2343.745941
0.06652,252,2365.083008
0.06734,252,2385.844305
0.064338,252,2406.319026
0.062804,252,2427.116817
0.061729,252,2448.13687
0.062065,252,2468.560498
0.062407,252,2488.060199
0.061646,252,2508.640059
0.0613,252,2529.33413
0.059504,252,2549.912499
0.058158,252,2571.147472
0.057378,252,2592.172477
0.054148,252,2612.715139
0.054242,252,2633.779301
0.055809,252,2654.831558
0.055826,252,2675.376434
0.055372,252,2696.232214
0.054675,252,2716.207831
0.053711,252,2736.316353
0.052432,252,2756.303851
0.05036,252,2775.574988
0.050473,252,2795.438738
0.053362,252,2815.588527
0.053847,252,2834.790331
0.053632,252,2852.519689
0.053541,252,2869.342096
0.053518,252,2886.327916
0.055539,252,2903.657863
0.05076,252,2920.594339
0.051309,252,2937.237559
0.052984,252,2954.828104
0.053412,252,2972.579003
0.052662,252,2989.564846
0.052196,252,3005.680115
0.051574,252,3022.662753
0.052963,252,3039.946478
0.052717,252,3056.058656
0.05424,252,3075.097076
0.053379,252,3095.34038
0.056672,252,3116.583156
0.055363,252,3137.987982
0.053822,252,3158.558299
0.055857,252,3179.350334
0.056286,252,3199.873339
0.055406,252,3220.105586
0.056164,252,3240.435388
0.054432,252,3261.164025
0.055771,252,3282.654964
0.056168,252,3304.055592
0.054154,252,3325.041671
0.053808,252,3346.601221
0.052714,252,3368.290613
0.051258,252,3388.738675
0.052099,252,3410.483642
0.051613,252,3431.757087
0.052892,252,3452.703122
0.052337,252,3473.914989
0.052966,252,3495.449512
0.052013,252,3515.462013
0.052426,252,3537.005844
0.051062,252,3557.097175
0.052539,252,3578.030931
0.051612,252,3598.738563
0.051285,252,3619.872199
0.051742,252,3641.048094
0.052082,252,3662.640286
0.052983,252,3684.072784
0.051929,252,3705.346061
0.052386,252,3726.601403
0.053336,252,3748.113881
0.053114,252,3769.19815
0.052966,252,3789.815096
0.052077,252,3810.476117
0.051626,252,3831.467702
0.051723,252,3850.638963
0.052062,252,3869.821882
0.051101,252,3890.111399
0.050511,252,3909.930726
0.050529,252,3930.774224
0.051956,252,3950.643752
0.052923,252,3969.602369
