#{"t_start": 1747201104.1715775, "env_id": "None"}
r,l,t
0.116643,252,20.263596
0.117213,252,36.665166
0.116612,252,52.574514
0.115869,252,68.495703
0.116199,252,84.61507
0.11629,252,100.94878
0.116368,252,116.416759
0.116131,252,131.932559
0.115605,252,147.744947
0.115788,252,164.012089
0.1154,252,179.566507
0.115156,252,194.97838
0.116473,252,211.204841
0.11738,252,227.793443
0.116547,252,243.881978
0.115753,252,259.089713
0.116887,252,274.846017
0.115383,252,289.785787
0.115848,252,305.276725
0.115959,252,320.272349
0.116652,252,335.270203
0.115884,252,350.619722
0.117095,252,365.550944
0.118123,252,381.12361
0.118478,252,396.004435
0.118779,252,410.723483
0.119806,252,425.871483
0.119232,252,440.831196
0.119876,252,456.174603
0.118221,252,471.596183
0.117903,252,487.044945
0.116724,252,502.563112
0.117821,252,517.707443
0.117769,252,533.187442
0.118264,252,548.468976
0.118563,252,563.818949
0.119525,252,579.000792
0.11939,252,593.684337
0.119839,252,609.053871
0.119662,252,624.039933
0.120015,252,639.209919
0.120016,252,654.847122
0.120697,252,670.201681
0.119886,252,685.767412
0.119864,252,701.506227
0.120114,252,717.08601
0.120523,252,732.368598
0.120654,252,747.962041
0.120793,252,763.550711
0.121068,252,778.673088
0.121729,252,793.585548
0.120844,252,809.201349
0.121488,252,824.446563
0.120232,252,840.329466
0.12022,252,856.489042
0.1195,252,872.125426
0.119502,252,887.472765
0.119687,252,903.804321
0.119004,252,919.700769
0.119678,252,934.859322
0.119705,252,950.353859
0.119459,252,966.235188
0.120052,252,981.598499
0.120701,252,996.80534
0.120452,252,1012.127785
0.120635,252,1027.652825
0.120735,252,1043.749854
0.121193,252,1059.303111
0.121378,252,1074.49238
0.121415,252,1090.223176
0.121395,252,1105.822324
0.120903,252,1120.935689
0.120177,252,1136.829446
0.119078,252,1152.235322
0.118645,252,1167.66049
0.119007,252,1182.361977
0.118337,252,1197.43558
0.119006,252,1213.149511
0.118378,252,1228.66203
0.119509,252,1243.679252
0.120428,252,1258.838757
0.120134,252,1275.052931
0.118882,252,1290.496779
0.119358,252,1305.605332
0.119318,252,1320.916617
0.119083,252,1336.452452
0.118778,252,1351.547076
0.119118,252,1366.675241
0.11805,252,1382.176565
0.118408,252,1396.96433
0.118712,252,1412.682351
0.118173,252,1427.85875
0.117458,252,1443.247214
0.117849,252,1458.481889
0.118247,252,1473.537462
0.118725,252,1488.972447
0.118266,252,1504.191108
0.118434,252,1519.640152
0.117648,252,1535.518546
0.117218,252,1550.917518
0.117976,252,1565.390734
0.118303,252,1580.989752
0.116601,252,1596.71987
0.11739,252,1612.141143
0.118081,252,1627.511271
0.118947,252,1643.179949
0.119599,252,1658.503292
0.119024,252,1673.711514
0.118657,252,1689.183841
0.119365,252,1704.563424
00.118795,252,1720.086641
00.117061,252,1735.37966
0.117703,252,1750.640137
0.118211,252,1765.739367
0.117066,252,1781.68487
0.118517,252,1797.132058
0.118945,252,1812.499002
0.11819,252,1827.953667
0.118699,252,1843.344954
00.118129,252,1858.656086
00.118554,252,1874.213564
00.118174,252,1889.700456
00.11749,252,1904.9183550.0.11752,252,1920.745374
00.117594,252,1935.983694
00.117477,252,1950.800821
00.117116,252,1966.242273
00.117027,252,1981.263531
00.117654,252,1995.87157
0.117764,252,2011.31186
0.117763,252,2026.648372
0.117525,252,2041.943164
0.117027,252,2057.294711
0.116109,252,2072.2117860.0.116565,252,2087.8420730.0.115877,252,2103.0459070.0.116303,252,2117.8057410.0.116237,252,2132.9827230.0.116827,252,2148.6334750.0.11734,252,2163.971157
00.116353,252,2178.724076
00.115739,252,2194.065489
00.11586,252,2208.82917
0.116247,252,2223.749931
0.115581,252,2239.222739
0.115999,252,2254.202987
00.114869,252,2269.2909760.0.114928,252,2284.39038
00.114992,252,2300.08844
0.114976,252,2315.688946
0.114996,252,2330.873183
0.115318,252,2345.604269
0.114496,252,2360.652857
00.113957,252,2376.143663
00.11448,252,2391.236258
0.114361,252,2406.812494
0.11402,252,2421.724845
0.113603,252,2436.696877
0.114343,252,2452.012959
0.114703,252,2467.733538
0.115356,252,2482.891192
0.115979,252,2498.00791
0.11519,252,2513.512245
0.115335,252,2528.823452
0.115593,252,2544.531855
0.115958,252,2559.913881
0.116156,252,2575.177505
0.115784,252,2590.905377
0.114275,252,2606.399321
0.114107,252,2622.066242
0.114065,252,2637.39261
0.115031,252,2652.592752
0.115236,252,2668.137582
0.114481,252,2683.51634
0.115306,252,2699.242327
0.11489,252,2715.115304
0.114798,252,2729.740067
0.115663,252,2745.574398
0.11589,252,2760.458491
0.115556,252,2776.310587
0.115085,252,2791.540903
0.115876,252,2806.709778
0.115299,252,2822.089725
0.115011,252,2837.096383
0.115601,252,2852.126949
0.115673,252,2867.30063
0.114868,252,2882.922954
0.11565,252,2897.955725
0.114674,252,2913.310854
0.115092,252,2928.456501
0.114954,252,2943.881499
0.114615,252,2959.179264
0.114029,252,2974.57919
0.115086,252,2989.985596
0.115194,252,3005.391537
0.115426,252,3020.75792
0.115269,252,3036.043771
0.114781,252,3051.724005
0.114315,252,3066.734936
0.113377,252,3082.12199
34
1258,2980.986492
0.045774,1258,2996.324243
0.045477,1258,3011.721369
0.045564,1258,3027.143866
0.045649,1258,3042.430429
0.045651,1258,3058.058999
0.04571,1258,3073.147828
0.045788,1258,3088.4847
44764,1258,1071.913338
0.043744,1258,1076.33206
0.044722,1258,1080.657754
0.045127,1258,1087.690908
0.045338,1258,1091.988317
0.045364,1258,1096.368474
0.044546,1258,1103.349727
0.04469,1258,1107.496632
0.044869,1258,1111.540486
0.044912,1258,1118.619282
0.04526,1258,1123.068688
0.044328,1258,1127.468332
0.044607,1258,1134.491305
0.04523,1258,1138.650396
0.04544,1258,1142.934796
0.044202,1258,1149.939887
0.045163,1258,1154.322042
0.044454,1258,1158.432031
0.044713,1258,1165.458595
0.044702,1258,1169.764451
0.0446,1258,1174.020792
0.044357,1258,1180.716832
0.044539,1258,1184.77282
0.044888,1258,1189.181672
0.044174,1258,1195.969878
0.045251,1258,1200.186281
0.045116,1258,1204.759631
0.044672,1258,1211.800932
0.04505,1258,1216.420909
0.044503,1258,1220.567197
0.045591,1258,1227.139297
0.045246,1258,1231.359488
0.044255,1258,1235.423611
0.045042,1258,1242.405608
0.045135,1258,1246.7053
0.044391,1258,1250.813817
0.045055,1258,1257.742971
