#{"t_start": 1747655087.8467922, "env_id": "None"}
r,l,t
0.13722,252,22.77018
0.134673,252,41.250997
0.135904,252,59.159739
0.135535,252,77.866203
0.135768,252,96.885566
0.135544,252,114.248553
0.134942,252,132.795295
0.137624,252,152.333734
0.137203,252,170.296354
0.136434,252,189.047662
0.134758,252,208.721628
0.133917,252,226.239595
0.131306,252,244.889019
0.134926,252,264.89111
0.134396,252,281.956996
0.134706,252,300.458765
0.134423,252,319.667069
0.135667,252,337.782513
0.136882,252,356.72662
0.135896,252,375.284564
0.136851,252,391.836613
0.136426,252,409.429503
0.135458,252,426.924915
00.136705,252,444.756907
00.13659,252,462.950203
0.138113,252,479.125005
0.137263,252,497.923959
0.138206,252,516.181429
0.136859,252,534.485958
0.137262,252,551.760574
0.136923,252,569.840025
0.135999,252,586.089461
0.136577,252,603.435831
0.135976,252,621.387363
0.135883,252,638.722055
0.136622,252,655.722169
0.134812,252,673.38747
0.134898,252,691.357297
0.134911,252,707.839096
0.134547,252,725.160476
0.136044,252,742.713554
0.134104,252,760.323457
0.13575,252,777.882015
0.135391,252,794.93538
0.135147,252,812.939402
0.135951,252,830.918617
0.137114,252,847.94501
0.136162,252,866.040862
0.133655,252,883.929815
0.135358,252,900.94162
0.13714,252,916.886296
0.135951,252,934.701622
0.135796,252,951.102377
0.133881,252,968.893688
0.135826,252,986.712894
0.133657,252,1003.819596
0.133673,252,1020.871853
0.133815,252,1039.321217
0.134221,252,1056.150559
0.134107,252,1073.443295
0.135415,252,1090.489708
0.135509,252,1107.552653
0.135103,252,1124.734301
0.136814,252,1142.169408
0.135175,252,1158.431295
0.135121,252,1175.71598
0.134752,252,1193.038511
0.134992,252,1209.78021
0.134592,252,1227.322276
0.133998,252,1244.524502
0.135404,252,1260.667994
0.136001,252,1278.292232
0.133936,252,1296.379871
0.135589,252,1313.13072
0.135484,252,1330.164822
0.135376,252,1347.135878
0.134434,252,1363.158552
0.134159,252,1379.888858
